Date,Search,ResultType,LTP,Change,TentativeTime,SeeFinancials,Url, 
11-Oct, Delta Corp,Q2-2022,218.45,-4.48%,Time Not Available, ,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/deltacorp/DC11,
11-Oct,GM Breweries,Q2-2022,601,-5.53%,During Market, ,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/gmbreweries/GMB,
