Builtup,Chginoi,Delta,Iv,Ltpchi,Oi,__v,_id
call reading,0,1.4,0,9.2,11,0,62b42e253b17fdfde718636a
call reading,9.3,2.5,0.1,0.4,11,0,62b42e873b17fdfde718636d
